"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.141572434e-01 9.0962518e-04
2.142000749e-01 7.3544681e-04
2.142429149e-01 1.3518214e-03
2.142857634e-01 4.2811905e-03
2.143286206e-01 7.5277835e-03
2.143714863e-01 6.4419519e-03
2.144143606e-01 2.7945563e-03
2.144572435e-01 7.9351491e-03
2.145001349e-01 1.3076770e-02
2.145430350e-01 1.5661964e-02
2.145859436e-01 1.0861182e-02
2.146288608e-01 5.7945452e-03
2.146717865e-01 4.6140006e-03
2.147147209e-01 3.2526464e-03
2.147576638e-01 2.5204004e-03
2.148006154e-01 1.7880081e-03
2.148435755e-01 1.1506457e-03
2.148865442e-01 7.7125897e-04
2.149295215e-01 3.6634077e-04
2.149725074e-01 4.2829635e-04
2.150155019e-01 3.5493773e-04
2.150585050e-01 7.6965404e-04
2.151015167e-01 1.1844533e-03
2.151445370e-01 2.1642319e-03
2.151875659e-01 4.5180035e-03
2.152306035e-01 6.9325303e-03
2.152736496e-01 7.4290845e-03
2.153167043e-01 9.0831374e-03
2.153597676e-01 6.3213605e-03
2.154028396e-01 3.5590312e-03
2.154459202e-01 1.9785338e-03
2.154890093e-01 2.8751120e-03
2.155321072e-01 3.7702706e-03
2.155752136e-01 4.0239476e-03
2.156183286e-01 3.9096771e-03
2.156614523e-01 5.3242325e-03
2.157045846e-01 6.7390709e-03
2.157477255e-01 6.4655179e-03
2.157908750e-01 3.2473281e-03
2.158340332e-01 2.0030103e-04
2.158772000e-01 6.2842252e-04
2.159203755e-01 1.9371924e-05
2.159635595e-01 4.3009780e-03
2.160067522e-01 8.5834403e-03
2.160499536e-01 9.3638787e-03
2.160931636e-01 5.2174609e-03
2.161363822e-01 1.4567138e-03
2.161796095e-01 1.1211694e-03
2.162228454e-01 -5.4042663e-05
2.162660900e-01 3.5763964e-03
2.163093432e-01 7.2075616e-03
2.163526051e-01 8.8882553e-03
2.163958756e-01 8.4233698e-03
2.164391548e-01 7.5288725e-03
2.164824426e-01 4.4651222e-03
2.165257391e-01 1.3239856e-04
2.165690442e-01 5.8403483e-03
2.166123580e-01 1.4097820e-02
2.166556805e-01 1.4187324e-02
2.166990116e-01 1.4276846e-02
2.167423515e-01 1.3581692e-02
2.167856999e-01 1.0385211e-02
2.168290571e-01 7.0882551e-03
2.168724229e-01 5.3616150e-03
2.169157974e-01 -8.6261136e-03
2.169591805e-01 2.2475139e-02
2.170025724e-01 5.3582612e-02
2.170459729e-01 6.4281835e-02
2.170893821e-01 3.1980577e-02
2.171327999e-01 2.8365265e-04
2.171762265e-01 1.1278554e-03
2.172196617e-01 2.2226181e-03
2.172631057e-01 2.1855126e-03
2.173065583e-01 2.1483998e-03
2.173500196e-01 2.5112481e-03
2.173934896e-01 3.4389936e-03
2.174369683e-01 8.3268922e-03
2.174804557e-01 4.3916414e-02
2.175239518e-01 9.2114328e-02
2.175674566e-01 5.9601545e-02
2.176109701e-01 1.3605518e-02
2.176544923e-01 8.9703390e-03
2.176980232e-01 4.3342326e-03
2.177415628e-01 8.3661438e-04
2.177851111e-01 1.3874835e-03
2.178286681e-01 1.8541638e-03
2.178722338e-01 3.5074964e-03
2.179158083e-01 6.6539044e-03
2.179593915e-01 4.2898835e-03
2.180029833e-01 1.9253899e-03
2.180465839e-01 1.9170958e-03
2.180901932e-01 6.5986523e-03
